Year,Country,Core_CPI,Inflation,Exports,Foreign_Reserves,GDP,Imports,Industrial_Production,Exchange_Rate,Retail_Sales,Stock_Market,Total_Reserves,Unemployment,Trade_Balance,Trade_Openness,Reserve_Adequacy,Stock_to_GDP,GDP_Growth,Export_Growth,Import_Growth,Stock_Growth,Exchange_Rate_Change,Inflation_Lag,GDP_Growth_Lag,Unemployment_Lag,GDP_Growth_Rolling_3Y,Inflation_Rolling_3Y,Recession,Anomaly,Anomaly_Label
2009,Advanced Economies,101.8832,0.582962,7683596.0,0.39287,42591405.0,8140257.0,8420000000000.0,7.546392,98.90963,93.097505,3149678.0,8.141659,-456661.0,-0.0107219050416392,0.0739510236865865,2.185828455295147e-06,-3.4932063633741794,-12.911295876420937,-12.440283254270334,0.0,0.0,4.073851,0.2434977877321387,5.915271,-0.1954684324563471,2.332780666666667,1,-1,Anomaly
2010,Advanced Economies,101.8832,1.704278,8725362.0,0.366576,43837072.0,9092439.0,9060000000000.0,7.546392,100.0,93.097505,3462328.0,8.455106,-367077.0,-0.0083736660149199,0.0789817349114922,2.1237163148122667e-06,2.924691026276305,13.558313060707516,11.697198257991117,0.0,0.0,0.582962,-3.4932063633741794,8.141659,-0.1083391831219119,2.120363666666667,0,1,Normal
2011,Advanced Economies,101.8832,3.23847,9232359.0,0.344257,44544010.0,9448591.0,9220000000000.0,7.546392,106.8742,93.097505,3823939.0,8.167115,-216232.0,-0.0048543451745812,0.0858463124447035,2.090011765891755e-06,1.6126487644977816,5.810612786036851,3.917012805914899,0.0,0.0,1.704278,2.924691026276305,8.455106,0.348044475799969,1.8419033333333332,0,1,Normal
2012,Advanced Economies,101.8832,2.448517,9255862.0,0.376956,45063205.0,9519754.0,9260000000000.0,7.546392,101.3251,93.097505,4111088.0,8.300896,-263892.0,-0.0058560415310007,0.0912293743864867,2.0659317285577004e-06,1.1655775939346302,0.254571989672403,0.7531599155895297,0.0,0.0,3.23847,1.6126487644977816,8.167115,1.900972461569572,2.463755,0,1,Normal
2013,Advanced Economies,101.8832,1.395067,9399233.0,0.388356,45718966.0,9599867.0,9310000000000.0,7.546392,102.22,93.097505,4243080.0,8.254138,-200634.0,-0.0043884194581303,0.0928078732139305,2.036299442992652e-06,1.4552027535547074,1.5489751251693162,0.8415448550456173,0.0,0.0,2.448517,1.1655775939346302,8.300896,1.4111430373290397,2.3606846666666668,0,1,Normal
2014,Advanced Economies,101.8832,0.491495,9651048.0,0.383093,46673950.0,9914852.0,9490000000000.0,7.546392,102.4293,93.097505,4252205.0,7.624245,-263804.0,-0.00565206073195,0.0911044597682433,1.994635230144438e-06,2.0888136446480354,2.679101582012056,3.281139207449435,0.0,0.0,1.395067,1.4552027535547074,8.254138,1.569864664045791,1.4450263333333335,0,1,Normal
2015,Advanced Economies,101.8832,0.086131,9753471.0,0.445253,47770871.0,10326904.0,9510000000000.0,7.546392,90.28958,93.097505,4342558.0,7.006724,-573433.0,-0.0120038213245054,0.0909038899458207,1.948834154604382e-06,2.3501782043302555,1.0612629840821342,4.155906714492552,0.0,0.0,0.491495,2.0888136446480354,7.624245,1.964731534177666,0.6575643333333333,0,-1,Anomaly
2016,Advanced Economies,101.8832,0.30771,9913558.0,0.469382,48612104.0,10498930.0,9500000000000.0,7.546392,91.3892,93.097505,4484259.0,6.52296,-585372.0,-0.0120416923324281,0.092245729582081,1.915109557899407e-06,1.760974799894277,1.6413336339442752,1.665804194558218,0.0,0.0,0.086131,2.3501782043302555,7.006724,2.066655549624189,0.295112,0,-1,Anomaly
2017,Advanced Economies,101.8832,1.437141,10423065.0,0.470434,49866614.0,10946144.0,9720000000000.0,7.546392,95.65863,93.097505,4936212.0,5.908583,-523079.0,-0.0104895632175868,0.0989883131026301,1.866930547961408e-06,2.58065357549635,5.1394968385719775,4.2596150274361255,0.0,0.0,0.30771,1.760974799894277,6.52296,2.230602193240294,0.6103273333333333,0,1,Normal
2018,Advanced Economies,101.8832,1.717961,10710628.0,0.430748,50982948.0,11300887.0,9900000000000.0,7.546392,101.2388,93.097505,4965876.0,5.35351,-590259.0,-0.0115775768792342,0.0974026845211069,1.826051820306664e-06,2.2386400648738647,2.758910167019013,3.2408033367732125,0.0,0.0,1.437141,2.58065357549635,5.908583,2.1934228134214973,1.154270666666667,0,1,Normal
2019,Advanced Economies,101.8832,1.492918,10726400.0,0.458774,51889843.0,11408410.0,9810000000000.0,7.546392,98.47438,93.097505,5115382.0,5.032226,-682010.0,-0.0131434199945449,0.0985815663385221,1.7941373420613356e-06,1.7788202439764866,0.1472556044332718,0.951456288342678,0.0,0.0,1.717961,2.2386400648738647,5.35351,2.199371294782234,1.54934,0,1,Normal
2020,Advanced Economies,101.8832,0.466579,10055085.0,0.55791,49776702.0,10817234.0,9150000000000.0,7.546392,97.72811,93.097505,5743517.0,6.895663,-762149.0,-0.0153113599209525,0.1153856476871448,1.87030279748144e-06,-4.07235959453568,-6.2585303550119376,-5.181931575039823,0.0,0.0,1.492918,1.7788202439764866,5.032226,-0.0182997618951095,1.2258193333333334,1,-1,Anomaly
2021,Advanced Economies,101.8832,2.473019,10911512.0,0.492165,52753051.0,11766588.0,9720000000000.0,7.546392,108.3778,93.097505,6304639.0,5.8205,-855076.0,-0.0162090340518882,0.119512310292726,1.7647795385332309e-06,5.979401769124837,8.517352165595815,8.776310099236095,0.0,0.0,0.466579,-4.07235959453568,6.895663,1.228620806188548,1.4775053333333332,0,1,Normal
2022,Advanced Economies,101.8832,7.956138,11146466.0,0.374292,54347382.0,12239031.0,9840000000000.0,7.546392,100.5522,93.097505,5489501.0,4.658578,-1092565.0,-0.0201033602685774,0.1010076437536586,1.7130080893316995e-06,3.022253632306504,2.153267118250879,4.0151231605967785,0.0,0.0,2.473019,5.979401769124837,5.8205,1.6430986022985536,3.631912,0,-1,Anomaly
2023,Advanced Economies,101.8832,4.986106,11012148.0,0.407011,55219837.0,11817225.0,9730000000000.0,7.546392,101.8144,93.097505,5574856.0,4.574727,-805077.0,-0.0145794888891106,0.1009574874333656,1.6859431330809614e-06,1.6053303174750957,-1.2050276742422206,-3.4464002910034264,0.0,0.0,7.956138,3.022253632306504,4.658578,3.535661906302145,5.138421,0,1,Normal
2024,Advanced Economies,101.8832,2.400328,11140081.0,0.402631,56143942.0,11972561.0,9610000000000.0,7.546392,102.2363,93.097505,5532809.0,4.692289,-832480.0,-0.0148276015246667,0.0985468565780436,1.6581932383728951e-06,1.673501861296689,1.1617442845846204,1.3144879614291891,0.0,0.0,4.986106,1.6053303174750957,4.574727,2.100361937026096,5.1141906666666666,0,1,Normal
2025,Advanced Economies,101.8832,2.39701,11140081.0,0.402631,57170146.0,11972561.0,9740000000000.0,7.546392,102.2363,93.097505,5992608.0,4.766297,-832480.0,-0.0145614461086036,0.1048205824067687,1.6284286732449485e-06,1.8278089557729915,0.0,0.0,0.0,0.0,2.400328,1.673501861296689,4.692289,1.7022137115149254,3.2611480000000004,0,1,Normal
2026,Advanced Economies,101.8832,1.366126,11140081.0,0.402631,57170146.0,11972561.0,9740000000000.0,7.546392,102.2363,93.097505,5992608.0,4.766297,-832480.0,-0.0145614461086036,0.1048205824067687,1.6284286732449485e-06,0.0,0.0,0.0,0.0,0.0,2.39701,1.8278089557729915,4.766297,1.1671036056898936,2.0544880000000005,0,-1,Anomaly
1999,Australia,101.8832,3.753451,129606.7,0.326749,860490.1,90512.05,97600000000.0,1.549667,91.92693,43.27264,21344.78,6.869885,39094.65,0.0454330038195674,0.0248053754482474,5.028836473539905e-05,4.420477279274659,4.933905582178988,7.073492558614047,14.0931061067068,-2.629016002432916,3.753451,4.687443428293991,7.651377,3.0359735691895504,3.753451,0,1,Normal
2000,Australia,101.8832,3.753451,142002.2,0.269049,887237.0,95666.84,97600000000.0,1.725241,91.92693,41.63047,18235.01,6.273074,46335.360000000015,0.0522243323937121,0.0205525806520692,4.692147644879553e-05,3.1083332626371973,9.563934580542522,5.695142249015461,-3.794938325926034,11.329788915941297,3.753451,4.420477279274659,6.869885,4.072084656735282,3.753451,0,1,Normal
2001,Australia,101.8832,3.753451,143667.1,0.296851,910158.7,91142.06,97600000000.0,1.933352,91.92693,37.80406,18068.05,6.765134,52525.04000000001,0.057709759847376,0.0198515379790359,4.153567943700368e-05,2.583492347591454,1.1724466240663922,-4.729726622098108,-9.19136872583952,12.06272051267041,3.753451,3.1083332626371973,6.273074,3.3707676298344373,3.753451,0,1,Normal
2002,Australia,101.8832,3.753451,144606.0,0.299674,947906.7,103672.3,97600000000.0,1.839996,91.92693,38.8739,20810.5,6.358194,40933.7,0.0431832584367216,0.0219541648982964,4.101025976501696e-05,4.147408578306178,0.6535247109463516,13.74803246711782,2.829960591534353,-4.828711998642776,3.753451,2.583492347591454,6.765134,3.2797447295116093,3.753451,0,1,Normal
2003,Australia,101.8832,3.753451,142334.7,0.381252,976513.9,115055.5,97600000000.0,1.540424,91.92693,45.01805,32321.96,5.931701,27279.20000000001,0.0279352910388679,0.0330993342747092,4.610077746973187e-05,3.017934149004331,-1.5706817144516716,10.979982116727417,15.805334684711347,-16.281122350265974,3.753451,4.147408578306178,6.358194,3.249611691633987,3.753451,0,1,Normal
2004,Australia,101.8832,3.753451,149311.7,0.346414,1016580.0,131717.3,97600000000.0,1.359153,91.92693,58.96969,35941.87,5.395828,17594.400000000023,0.0173074426016644,0.0353556729426115,5.800791870782428e-05,4.102972830187057,4.901826469581905,14.481532825462471,30.99121352435301,-11.76760424402632,3.753451,3.017934149004331,5.931701,3.756105185832522,3.753451,0,1,Normal
2005,Australia,101.8832,3.753451,154339.5,0.355305,1047487.0,143660.3,97600000000.0,1.312006,91.92693,73.40358,42069.53,5.033575,10679.200000000012,0.0101950668600183,0.0401623409168801,7.00758863833155e-05,3.040291959314567,3.3673181672970065,9.067146077242704,24.47679477372189,-3.4688515568151668,3.753451,4.102972830187057,5.395828,3.387066312835318,3.753451,0,1,Normal
2006,Australia,101.8832,3.753451,157499.8,0.404489,1075101.0,156132.8,97600000000.0,1.327806,91.92693,86.26591,53583.2,4.773106,1367.0,0.0012715084443229,0.049840154552921,8.023981932860262e-05,2.636214100986467,2.047628766453169,8.68193926923444,17.522755702106085,1.204262785383614,3.753451,3.040291959314567,5.033575,3.259826296829364,3.753451,0,1,Normal
2007,Australia,101.8832,3.753451,161339.1,0.158318,1121947.0,173487.9,97600000000.0,1.194876,91.92693,117.791,24910.41,4.36939,-12148.799999999988,-0.0108283189847648,0.0222028402411165,0.000104988025281,4.357358052871319,2.437653889084324,11.11560159044096,36.54408792534616,-10.011251643688912,3.753451,2.636214100986467,4.773106,3.344621371057451,3.753451,0,1,Normal
2008,Australia,101.8832,3.753451,170112.2,0.161306,1151836.0,191649.9,97600000000.0,1.196761,91.92693,98.45246,30829.24,4.245414,-21537.699999999983,-0.0186985820898113,0.0267653033938859,8.547437308783542e-05,2.664029584285177,5.437677537559105,10.46874162405562,-16.417671978334504,0.1577569555334612,3.753451,4.357358052871319,4.36939,3.219200579380987,3.753451,0,1,Normal
2009,Australia,101.8832,3.753451,163064.0,0.246603,1174607.0,170640.7,97600000000.0,1.280824,91.92693,73.60899,39091.03,5.564413,-7576.700000000012,-0.0064504127763584,0.033280092831049,6.266690901722874e-05,1.976930743612804,-4.143265444806432,-10.962280700381257,-25.233975870181403,7.02420951217495,3.753451,2.664029584285177,4.245414,2.9994394602564327,3.753451,0,1,Normal
2010,Australia,101.8832,3.753451,182391.3,0.20037,1203131.0,188833.2,97600000000.0,1.089599,91.92693,97.02012,38797.7,5.182596,-6441.900000000023,-0.0053542797916436,0.032247278143444,8.06396975890406e-05,2.42838668592984,11.852585487906577,10.661290067375484,31.804715701166387,-14.92984203918727,3.753451,1.976930743612804,5.564413,2.356449004609273,3.753451,0,1,Normal
2011,Australia,101.8832,3.753451,183318.5,0.183337,1236224.0,202122.9,97600000000.0,0.969085,91.92693,106.1803,42921.31,5.084514,-18804.399999999998,-0.0152111591426796,0.0347196867234417,8.589082561089252e-05,2.750573295842273,0.5083575806521523,7.037798437986531,9.441526149421374,-11.060399284507415,3.753451,2.42838668592984,5.182596,2.385296908461639,3.753451,0,1,Normal
2012,Australia,101.8832,3.753451,188996.4,0.179496,1284122.0,212740.3,97600000000.0,0.965681,91.92693,101.5253,45004.15,5.223249,-23743.899999999998,-0.0184903770825513,0.0350466310833394,7.906203616167311e-05,3.8745405363429297,3.097286962308776,5.25294264034406,-4.38405240896852,-0.3512591774715301,3.753451,2.750573295842273,5.084514,3.017833506038348,3.753451,0,1,Normal
2013,Australia,101.8832,3.753451,200472.7,0.214233,1312931.0,206998.8,97600000000.0,1.036345,91.92693,110.3695,49883.0,5.670033,-6526.099999999977,-0.0049706344050067,0.0379936188573504,8.406344278564525e-05,2.2434784233896776,6.072232063679528,-2.698830451964207,8.711326142350728,7.317530323160559,3.753451,3.8745405363429297,5.223249,2.9561974185249604,3.753451,0,1,Normal
2014,Australia,101.8832,3.753451,212012.7,0.223112,1346525.0,210584.3,97600000000.0,1.109586,91.92693,109.9799,50944.25,6.086351,1428.4000000000233,0.0010608046638569,0.037833868661926,8.167683481554371e-05,2.558702627937026,5.75639476098242,1.7321356452308034,-0.3529960722844616,7.067241121441215,3.753451,2.2434784233896776,5.670033,2.8922405292232107,3.753451,0,1,Normal
2015,Australia,101.8832,3.753451,219076.2,0.215139,1377766.0,219843.9,97600000000.0,1.331668,91.92693,93.21922,43183.37,6.054264,-767.6999999999825,-0.000557206376119,0.0313430364807957,6.765968967154074e-05,2.3201203096860468,3.3316400385448697,4.397098929027465,-15.239766539158516,20.014852386385563,3.753451,2.558702627937026,6.086351,2.3741004536709167,3.753451,0,1,Normal
2016,Australia,101.8832,3.753451,233286.4,0.269233,1415012.0,216854.1,97600000000.0,1.34498,91.92693,89.60355,50992.89,5.715828,16432.29999999999,0.0116128343787897,0.0360370724771238,6.332352658493355e-05,2.703361819060701,6.486418880736466,-1.359964956953541,-3.87867437637861,0.999648561052746,3.753451,2.3201203096860468,6.054264,2.5273949188945912,3.753451,0,1,Normal
2017,Australia,101.8832,3.753451,233824.5,0.288473,1448794.0,244336.9,97600000000.0,1.304616,91.92693,101.1005,63704.15,5.594305,-10512.399999999994,-0.007255965996546,0.043970467851192,6.978252256704541e-05,2.38740024819577,0.2306606814627798,12.67340575990954,12.83090904322428,-3.001085518000268,3.753451,2.703361819060701,5.715828,2.470294125647506,3.753451,0,1,Normal
2018,Australia,101.8832,3.753451,245857.3,0.225331,1489196.0,242148.4,97600000000.0,1.338981,91.92693,102.7064,51170.82,5.307401,3708.899999999994,0.0024905385187711,0.034361373519671,6.896768457610684e-05,2.7886642269363326,5.146081783559886,-0.8956895172198664,1.588419444018574,2.634108427307336,3.753451,2.38740024819577,5.594305,2.6264754313976013,3.753451,0,1,Normal
2019,Australia,101.8832,3.753451,247078.9,0.264096,1518593.0,238948.9,97600000000.0,1.438635,91.92693,102.223,56498.71,5.168746,8130.0,0.0053536398495186,0.0372046427186217,6.731428368232963e-05,1.974018195052896,0.4968735929337997,-1.321297188005377,-0.4706620035362929,7.442525323361582,3.753451,2.7886642269363326,5.307401,2.3833608900616663,3.753451,0,1,Normal
2020,Australia,101.8832,3.753451,236585.0,0.195655,1487571.0,236940.9,97600000000.0,1.45319,91.92693,97.35689,39716.1,6.463407,-355.8999999999942,-0.0002392490845815,0.0266986248051353,6.544688623265714e-05,-2.042811997684701,-4.247185817971499,-0.8403470365421217,-4.760288780411448,1.0117229179048115,3.753451,1.974018195052896,5.168746,0.9066234747681756,3.753451,1,1,Normal
2021,Australia,101.8832,3.753451,233459.3,0.22071,1567278.0,258779.4,97600000000.0,1.33123,91.92693,125.904,54716.4,5.128427,-25320.10000000001,-0.0161554618899774,0.0349117386960067,8.033290839276759e-05,5.358198028867189,-1.3211742080013522,9.21685534240817,29.322126045727217,-8.39257082693936,3.753451,-2.042811997684701,6.463407,1.763134742078461,3.753451,0,1,Normal
2022,Australia,101.8832,3.753451,230114.0,0.189084,1633231.0,275354.1,97600000000.0,1.44251,91.92693,114.1886,54701.37,3.7172,-45240.09999999998,-0.0276997558826644,0.033492733116136,6.991576819200713e-05,4.208123893782734,-1.4329264244345774,6.404953408192449,-9.305026051594869,8.359186616888149,3.753451,5.358198028867189,5.128427,2.5078366416550737,3.753451,0,1,Normal
2023,Australia,101.8832,3.753451,228828.9,0.215599,1668102.0,274021.2,97600000000.0,1.505256,91.92693,110.9905,59244.36,3.688943,-45192.30000000002,-0.0270920483279799,0.0355160295953125,6.653699833703214e-05,2.1350929537830243,-0.558462327368181,-0.4840676060389071,-2.8007174096188248,4.3497792043036165,3.753451,4.208123893782734,3.7172,3.900471625477649,3.753451,0,1,Normal
2024,Australia,101.8832,3.753451,228622.9,0.20378,1684848.0,286892.8,97600000000.0,1.516201,91.92693,121.1518,57818.91,4.004142,-58269.9,-0.0345846628301187,0.034316988832227,7.190666457745742e-05,1.003895445242553,-0.0900235940477833,4.697300792785364,9.155107869592438,0.7271188422434349,3.753451,2.1350929537830243,3.688943,2.449037430936104,3.753451,0,1,Normal
2025,Australia,101.8832,3.753451,228622.9,0.20378,1718056.0,286892.8,97600000000.0,1.551718,91.92693,127.055,64905.06,4.207079,-58269.9,-0.0339161820103652,0.0377781981495364,7.395276987478872e-05,1.9709789844543744,0.0,0.0,4.872564831888604,2.342499444334889,3.753451,1.003895445242553,4.004142,1.703322461159984,3.753451,0,1,Normal
2026,Australia,101.8832,3.753451,228622.9,0.20378,1718056.0,286892.8,97600000000.0,1.439072,91.92693,141.4508,64905.06,4.207079,-58269.9,-0.0339161820103652,0.0377781981495364,8.23318913935285e-05,0.0,0.0,0.0,11.330368737948127,-7.259437603997632,3.753451,1.9709789844543744,4.207079,0.9916248098989758,3.753451,0,1,Normal
1999,Austria,101.8832,3.753451,243224.5,0.226099,336307.0,162382.0,76000000000.0,12.91542,91.92693,33.73018,15737.86,6.645249,80842.5,0.2403830428745164,0.0467961118858661,0.0001002958011578,3.635933895024501,0.0,0.0,-15.474075638896556,4.3231934863734,3.753451,3.428909459413365,7.184796,2.354947784812622,3.753451,0,1,Normal
2000,Austria,101.8832,3.753451,243224.5,0.215247,347993.3,162382.0,83400000000.0,14.93139,91.92693,28.07375,14872.03,5.803798,80842.5,0.2323105071275797,0.0427365411920287,8.067324859415397e-05,3.474890501833139,0.0,0.0,-16.769640719379485,15.60901619924091,3.753451,3.635933895024501,6.645249,3.513244618757002,3.753451,0,1,Normal
2001,Austria,101.8832,3.753451,243224.5,0.184147,352289.8,162382.0,86100000000.0,15.36997,91.92693,27.92258,13000.55,6.094126,80842.5,0.2294772655921346,0.0369029986108028,7.926025675452425e-05,1.2346502073459442,0.0,0.0,-0.5384745536310631,2.937301885490906,3.753451,3.474890501833139,5.803798,2.781824868067861,3.753451,0,1,Normal
2002,Austria,101.8832,3.753451,243224.5,0.139547,357514.4,162382.0,86800000000.0,14.59731,91.92693,30.06042,10168.95,6.871619,80842.5,0.2261237589311087,0.0284434696896125,8.408170412156824e-05,1.48304038322995,0.0,0.0,7.656312561375067,-5.027075524545587,3.753451,1.2346502073459442,6.094126,2.064193697469677,3.753451,0,1,Normal
2003,Austria,101.8832,3.753451,243224.5,0.098288,361572.0,162382.0,88400000000.0,12.17941,91.92693,39.87157,9000.922,7.014325,80842.5,0.2235861737081411,0.0248938579314769,0.0001102728363921,1.13494729163357,0.0,0.0,32.638100199531465,-16.564010766367222,3.753451,1.48304038322995,6.871619,1.284212627403155,3.753451,0,1,Normal
2004,Austria,101.8832,3.753451,243224.5,0.074166,370327.7,162382.0,94500000000.0,11.07377,91.92693,66.37044,8395.709,7.067989,80842.5,0.2182999003315172,0.0226710262289318,0.0001792208360325,2.4215647229320902,0.0,0.0,66.46056325346608,-9.07794384128624,3.753451,1.13494729163357,7.014325,1.6798507992652034,3.753451,0,1,Normal
2005,Austria,101.8832,3.753451,243224.5,0.061196,379317.2,162382.0,98200000000.0,11.07205,91.92693,99.87017,7325.538,7.272197,80842.5,0.2131263754978682,0.0193124329716659,0.0002632893261892,2.4274446658999693,0.0,0.0,50.473870596608975,-0.0155321990613743,3.753451,2.4215647229320902,7.067989,1.9946522268218765,3.753451,0,1,Normal
2006,Austria,101.8832,3.753451,243224.5,0.057316,392425.7,162382.0,106000000000.0,10.96327,91.92693,133.3015,7498.792,6.779983,80842.5,0.2060071498885012,0.0191088198351942,0.0003396859583865,3.4558148167285863,0.0,0.0,33.47479032027281,-0.9824738869495864,3.753451,2.4274446658999693,7.272197,2.768274735186882,3.753451,0,1,Normal
2007,Austria,101.8832,3.753451,243224.5,0.071465,406932.5,162382.0,112000000000.0,10.05241,91.92693,170.4043,11186.43,6.212382,80842.5,0.1986631689530819,0.0274896450885589,0.00041875323303,3.6966997829143136,0.0,0.0,27.83374530669198,-8.308287582080887,3.753451,3.4558148167285863,6.779983,3.1933197551809567,3.753451,0,1,Normal
2008,Austria,101.8832,3.753451,243224.5,0.053308,412483.6,162382.0,114000000000.0,9.403059,91.92693,135.3062,9397.251,5.900164,80842.5,0.1959896102535955,0.0227821203073285,0.0003280280719039,1.3641328721593735,0.0,0.0,-20.59695676693606,-6.45965494841535,3.753451,3.6966997829143136,6.212382,2.838882490600758,3.753451,0,1,Normal
2009,Austria,101.8832,3.753451,243224.5,0.063275,397801.6,141917.7,101000000000.0,9.897498,91.92693,80.66908,8608.206,7.277309,101306.8,0.254666647896841,0.0216394453918737,0.0002027872185531,-3.559414240954062,0.0,-12.602566786959136,-40.38035211985851,5.258278183727239,3.753451,1.3641328721593735,5.900164,0.5004728047065421,3.753451,1,1,Normal
2010,Austria,101.8832,3.753451,243224.5,0.066938,404614.8,156072.5,108000000000.0,10.38955,91.92693,91.50184,10074.53,6.924717,87152.0,0.2153949880231766,0.0248990644929449,0.0002261455586894,1.7127130710384408,0.0,9.97394969056009,13.42863957293179,4.971478650462968,3.753451,-3.559414240954062,7.277309,-0.1608560992520824,3.753451,0,1,Normal
2011,Austria,101.8832,3.753451,243224.5,0.062745,416858.9,174356.6,114000000000.0,9.895294,91.92693,92.73847,11470.65,6.724668,68867.9,0.1652067402183328,0.0275168648192469,0.0002224696893841,3.026112737349207,0.0,11.7151323903955,1.351481019398082,-4.757241651467103,3.753451,1.7127130710384408,6.924717,0.3931371891445286,3.753451,0,1,Normal
2012,Austria,101.8832,3.753451,243224.5,0.0748,419952.2,172767.2,116000000000.0,10.70399,91.92693,72.82167,12716.34,6.980576,70457.29999999999,0.167774570534456,0.0302804462031631,0.0001734046636736,0.7420496479744187,0.0,-0.9115800606343538,-21.476308591245907,8.172531306295694,3.753451,3.026112737349207,6.724668,1.8269584854540224,3.753451,1,1,Normal
2013,Austria,101.8832,3.753451,243224.5,0.074563,418572.5,173791.8,117000000000.0,10.36209,91.92693,87.86638,12959.06,7.614801,69432.70000000001,0.1658797460416057,0.03096013235461,0.0002099191418452,-0.3285373906839917,0.0,0.5930523849434266,20.659660785038312,-3.1941360184379763,3.753451,0.7420496479744187,6.980576,1.146541664879878,3.753451,1,1,Normal
2014,Austria,101.8832,3.753451,243224.5,0.084501,422272.4,175672.6,117000000000.0,10.37173,91.92693,86.04282,14601.56,8.365303,67551.9,0.159972330656704,0.0345785327196378,0.0002037614108807,0.8839328909567623,0.0,1.0822144658148458,-2.0753785463791696,0.0930314251275543,3.753451,-0.3285373906839917,7.614801,0.4324817160823964,3.753451,1,1,Normal
